Queue name,Desk,account,Timeframe BH,Timeframe OOH,SLA answered,abd rate,autre SLA,Target Ans rate,Target Abd rate,Target autre SLA
Sony Spanish Email Callback Issues,Sony SP,Sony,30,30,SLA1,Abd2,,30 sec,0.05,
Sony Spanish Existing Issues,Sony SP,Sony,30,30,SLA1,Abd2,,30 sec,0.05,
Sony Spanish New Issues,Sony SP,Sony,30,30,SLA1,Abd2,,30 sec,0.05,
Sony Spanish PW Reset,Sony SP,Sony,30,30,SLA1,Abd2,,30 sec,0.05,
Mylan ARABIC,Mylan ARABIC,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Mylan Russia,Mylan Russia,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Mylan Turkey,Mylan Turkey,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - Dutch,Viatris DU,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - French,viatris FR,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - German,viatris Ger,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - Hungarian,viatris HU,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - Italian,viatris IT,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - Polish,viatris Pol,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - Portuguese,viatris Por,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
Viatris - Spanish,viatris SP,Viatris,60,60,SLA1,Abd2,,0.8,0.05,
XPO ES All Other Issues,XPO ES,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO ES All Other Issues OOH,XPO ES,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO ES Default,XPO ES,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO ES Default OOH,XPO ES,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO ES MFA Password,XPO ES,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO ES MFA Password OOH,XPO ES,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO FR All Other Issues,XPO FR,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO FR All Other Issues OOH,XPO FR,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO FR Default,XPO FR,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO FR Default OOH,XPO FR,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO FR MFA Password,XPO FR,XPO,30,30,SLA1,Abd2,,0.9,0.03,
XPO FR MFA Password OOH,XPO FR,XPO,30,30,SLA1,Abd2,,0.9,0.03,
ConnectChat_Datwyler_English_Queue,Datwyler Chat,Datwayler(chat),60,60,SLA1,,,0.8,,
Datwyler English,Datwyler Eng,Datwayler (voice),30,30,SLA1,,,0.85,,
Datwyler German,Datwyler Ger,Datwayler (voice),30,30,SLA1,,,0.85,,
Nestle PT Status,Nestle Por,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
